Year,RK,ID,NAME,TEAM,SALARY,POS,GMS,PASS_YDS,PASS_TD,PASS_INT,RUSH_YDS,RUSH_TD,RUSH_REC,REC_YDS,REC_TD,DEF_SCK,DEF_INT,DEF_FF,DEF_FR,FPTS_G,FPTS
2015,307,16976,Christian Covington,HOU,595482.00,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,1075,16434,Christian Jones,CHI,1212500.00,OLB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.1,18.5
2021,136,19815,Christian Kirk,ARI,2433000.00,WR,17,33,0,0,11,0,77,982,5,0,0,0,0,7.7,130.62
2021,272,16133,Christian Kirksey,HOU,2147058.00,OLB,13,0,0,0,0,0,0,0,0,0,1,0,2,7.6,99
2020,207,16133,Christian Kirksey,GB,6175975.00,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6
2021,317,18877,Christian McCaffrey,CAR,8237500.00,RB,7,0,0,0,442,1,37,343,1,0,0,0,0,12.9,90.5
2017,55,18877,Christian McCaffrey,CAR,11144128.00,RB,1,0,0,0,16,0,6,101,1,0,0,0,0,17.7,17.7
2016,342,16970,Christian Ringo,GB,450000.00,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,162,20983,Christian Wilkins,MIA,1898555.00,DT,17,0,0,0,0,0,1,1,1,4.5,0,1,1,7.1,121.1
2016,172,15256,Christine Michael,GB,277941.00,RB,3,0,0,0,58,0,1,3,0,0,0,0,0,2,6.1
2015,151,15256,Christine Michael,SEA,103235.00,RB,2,0,0,0,70,0,1,14,0,0,0,0,0,4.2,8.4
2021,201,21691,Chuba Hubbard,CAR,1373174.00,RB,17,0,0,0,612,5,25,174,1,0,0,0,0,6.6,112.6
2021,287,19070,Chuck Clark,BAL,2500000.00,SS,16,0,0,0,0,0,0,0,0,1,2,0,0,6,95.7
2020,196,19070,Chuck Clark,BAL,7679603.00,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,3.2,6.5
2019,306,19070,Chuck Clark,BAL,956857.00,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5
2018,366,19070,Chuck Clark,BAL,555000.00,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1702,12330,Clark Harris,CIN,1212500.00,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,356,12330,Clark Harris,CIN,900000.00,LS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,360,12330,Clark Harris,CIN,760000.00,LS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,342,11317,Clay Harbor,DET,676764.00,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1432,18161,Clayton Fejedelem,MIA,2525000.00,SS,17,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4
2018,53,16870,Clayton Geathers,IND,705000.00,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,9,18
2021,1001,20757,Clelin Ferrell,LV,3345984.00,DE,16,0,0,0,0,0,0,0,0,1.5,0,0,0,1.4,22.8
2016,77,4399,Cliff Avril,SEA,6000000.00,DE,2,0,0,0,0,0,0,0,0,2,0,0,0,7.3,14.6
2015,71,4399,Cliff Avril,SEA,7516497.00,DE,2,0,0,0,0,0,0,0,0,1,0,0,0,8,16.1
2014,55,4399,Cliff Avril,SEA,9500000.00,DE,3,0,0,0,0,0,0,0,0,2,0,0,0,5.8,17.5
2015,356,12275,Clint Gresham,SEA,1070441.00,LS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,360,12275,Clint Gresham,SEA,750000.00,LS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,280,16829,Clive Walford,LV,582500.00,TE,1,0,0,0,0,0,2,16,0,0,0,0,0,1.6,1.6
2021,274,21769,Clyde Edwards-Helaire,KC,1101890.00,RB,10,0,0,0,517,4,19,129,2,0,0,0,0,9.9,98.6
2020,88,21769,Clyde Edwards-Helaire,KC,6164362.00,RB,2,0,0,0,71,1,3,23,0,0,0,0,0,7.7,15.4
2016,110,14920,Cobi Hamilton,PIT,238230.00,WR,3,0,0,0,0,0,4,51,1,0,0,0,0,3.7,11.1
